"LocationName", "LocationCentrePointLongitude", "LocationCentrePointLatitude", "CaseCount"
"Wellington", 174.7762, -41.2865, 34
"Wanaka", 169.1321, -44.7032, 1
"Wairarapa", 175.6574, -40.9511, 2
"Waitaki", 170.6015, -44.9874, 1
"Dunedin", 170.5028, -45.8788, 11
"Hamilton", 175.2793, -37.787, 5
"Christchurch", 172.6362, -43.5321, 5
"Kapiti Coast", 175.3136, -40.8233, 3
"Invercargill", 168.3538, -46.4132, 1
"Auckland", 174.7633, -36.8485, 79
"Bay of Plenty", 177.1423, -37.6893, 2
"Tasman", 172.7347, -41.2122, 1
"TBC", 173.655098, -40.2257029, 2
"Waitemata", 174.5222, -36.7423, 4
"New Plymouth", 174.0752, -39.0556, 1
"Northland", 173.7624, -35.5795, 2
"Rotorua", 176.2497, -38.1368, 1
"Queenstown", 168.6626, -45.0312, 2
"Taupo", 176.0702, -38.6857, 1
"Southern DHB", 170.5086, -45.8694, 2
"Blenheim", 173.8977, -41.529, 1
"Wellington Region", 175.4376, -41.0299, 2
"Hawke's Bay", 176.7416, -39.109, 3
"Otago", 170.1548, -45.4791, 2
"Manawatu", 175.4376, -39.7273, 3
"Waikato", 175.1894, -37.4558, 11
"Upper Hutt", 175.0708, -41.1244, 1
"Taranaki", 174.4383, -39.3538, 4
"Marlborough", 173.4217, -41.5727, 5
"Canterbury", 171.1637, -43.7542, 8
"Nelson", 173.284, -41.2706, 5
